,DEL-2018,BOM-2018,HYD-2018,BLR-2018,CCU-2018,CJB-2018,PNQ-2018,IXM-2018,COK-2018,IXZ-2018,AMD-2018,TRV-2018,GAU-2018,GOI-2018,VTZ-2018,TRZ-2018
jan,225495,219190,122167,93515,98016,80772,83966,70701,81904,54229,43367,31174,22475,25806,21355,8429
feb,214785,199265,112030,97918,93791,73291,76368,64078,67352,47212,39996,29354,16573,22595,22238,12399
mar,234094,201613,118320,124976,100769,78876,84216,69952,56118,57913,43316,32415,29463,23616,25701,12940
apr,235279,191340,105143,115962,104827,85196,90238,65528,59802,59729,41253,29340,28057,22457,24042,11903
may,234546,194940,109183,105198,109574,84545,96178,69396,62281,66311,41849,35785,30149,24387,24821,12661
jun,225778,186276,103346,104025,99484,84407,84149,65984,47094,58398,45590,34131,27370,21814,21474,19585
jul,233075,197722,120525,115059,106905,80338,88004,60849,53585,42694,49373,31389,31714,23519,21114,22240
aug,237053,200561,109915,113292,108893,80385,88220,60048,26495,46237,48770,37934,25883,21902,18515,22318
sep,234239,186735,109085,116345,113707,81076,87925,50145,62347,49443,51896,30325,25450,22488,17704,21555
oct,230511,174477,105131,119657,111171,79149,86612,52973,58505,51842,46559,31911,29727,31391,17398,19659
nov,200489,177692,92660,111615,103101,84985,79823,49817,52710,54762,47138,33604,26020,25890,23304,18986
dec,225595,196052,109615,122945,112020,85041,86301,50234,61686,59019,53399,36860,30510,27272,26050,19388
