,DEL-2017,BOM-2017,HYD-2017,BLR-2017,CCU-2017,CJB-2017,PNQ-2017,IXM-2017,COK-2017,IXZ-2017,AMD-2017,TRV-2017,GAU-2017,GOI-2017,VTZ-2017,TRZ-2017
jan,200466,198041,108123,86766,110100,70641,79113,46768,56811,53216,44499,20188,22887,13400,25894,13941
feb,180411,179460,98075,75631,96996,66385,70283,41891,51104,47230,37216,17284,19111,12389,23339,11923
mar,195144,177596,103207,72707,108551,67214,74204,52794,49528,46321,34615,19288,19853,15612,23708,11879
apr,181411,176030,98017,70895,108938,65821,77389,67475,50306,51494,34942,25334,25413,24674,20164,9351
may,213385,193376,106193,83969,111651,71289,83178,67045,48410,58297,37932,27945,25146,24041,22672,9546
jun,196870,183803,95114,82779,87462,65495,77536,59510,42784,49613,34328,23590,23743,18133,20324,9860
jul,198122,205196,107355,89742,85941,68236,81000,59425,45002,35918,36551,23913,16051,20661,19800,9555
aug,197809,205355,97566,89376,87416,69803,79864,57195,44548,39639,35958,26284,13898,15017,19413,9544
sep,202790,197808,104848,87626,89417,70590,76287,58779,42928,48837,38533,26836,14808,14678,0,11603
oct,213679,197083,115394,83993,95078,69791,78314,59492,43773,54376,40610,25297,14531,14386,17753,11755
nov,213679,197083,115394,83993,95078,69791,78314,59492,43773,54376,40610,25297,14531,14386,17753,11755
dec,222326,211906,116861,91098,96625,80046,85206,66331,59358,56605,41765,30274,19528,24221,21691,12785
