,DEL-2019,BOM-2019,HYD-2019,BLR-2019,CCU-2019,CJB-2019,PNQ-2019,IXM-2019,COK-2019,IXZ-2019,AMD-2019,TRV-2019,GAU-2019,GOI-2019,VTZ-2019,TRZ-2019
jan,214079,193902,108456,121088,107527,78126,82045,50694,56594,55710,58996,36000,26887,28958,21072,19646
feb,203068,169857,100244,118909,106113,80644,74850,48051,53697,44889,55572,28322,18491,24407,22368,18582
mar,199912,165359,101053,113560,111710,73422,61774,51935,59417,45773,46671,27471,24881,26993,16700,17987
apr,185289,140708,105492,113578,96920,68354,67147,52308,58483,55430,42396,28490,29123,26217,16102,17038
may,203302,168110,114897,124066,92727,72200,70194,55113,63102,66950,43351,32224,31962,32435,17385,16787
jun,197362,174318,115529,125656,110120,69868,65595,57028,61980,57322,47252,27721,29676,24119,17890,18469
jul,195282,194485,128114,125138,114033,81250,63617,59310,66351,48953,51384,28281,25267,22911,20221,17593
aug,189899,212078,134748,124099,114582,78978,58263,56742,55635,52823,52917,29731,18824,25734,17106,17815
sep,193364,191395,131919,115647,120638,74790,57124,54915,61146,52738,51918,29215,20074,24445,25105,17198
oct,205485,173146,137982,113393,129647,67640,55796,50366,57656,54623,51986,29461,23030,24247,21531,16333
nov,216815,191543,137527,109969,121136,80769,61926,51294,58093,50443,64962,38034,29240,27953,30793,15951
dec,223793,196728,140968,111303,127656,88077,65839,48963,56584,56213,67122,45788,27641,29469,31382,17036
